,loss,mae,val_loss,val_mae,learning_rate
0,5.631194591522217,1.3428353071212769,0.16013765335083008,0.24389101564884186,0.00277969753369689
1,0.8583670258522034,0.7256667017936707,0.10956303030252457,0.19631627202033997,0.00277969753369689
2,0.5991189479827881,0.6067294478416443,0.1146719753742218,0.22815388441085815,0.00277969753369689
3,0.3929198682308197,0.47998711466789246,0.09094199538230896,0.1708964705467224,0.00277969753369689
4,0.26690372824668884,0.3846287429332733,0.08635752648115158,0.17157386243343353,0.00277969753369689
5,0.20245733857154846,0.32654616236686707,0.09596984833478928,0.18221193552017212,0.00277969753369689
6,0.17152057588100433,0.2951979339122772,0.08920715004205704,0.18631811439990997,0.00277969753369689
7,0.15189488232135773,0.27308928966522217,0.10606277734041214,0.21912778913974762,0.00277969753369689
8,0.14371275901794434,0.2640236020088196,0.09166599065065384,0.21104541420936584,0.00277969753369689
9,0.13860462605953217,0.25709453225135803,0.08653724938631058,0.18641003966331482,0.00277969753369689
10,0.13511960208415985,0.255877286195755,0.07726902514696121,0.1540229618549347,0.001389848766848445
11,0.1319735199213028,0.251110702753067,0.08313170820474625,0.16410966217517853,0.001389848766848445
12,0.13273367285728455,0.2521173059940338,0.07773791253566742,0.1571408063173294,0.001389848766848445
13,0.1314081996679306,0.2499091625213623,0.07645946741104126,0.16261634230613708,0.001389848766848445
14,0.1313157081604004,0.2505914270877838,0.08065406233072281,0.1756191849708557,0.001389848766848445
15,0.1304652988910675,0.24926291406154633,0.08107592910528183,0.17277845740318298,0.001389848766848445
16,0.13130515813827515,0.2499246597290039,0.08674156665802002,0.1763949990272522,0.001389848766848445
17,0.1314558982849121,0.25039610266685486,0.08139371126890182,0.15807290375232697,0.001389848766848445
18,0.13041794300079346,0.24919310212135315,0.07902831584215164,0.15929189324378967,0.001389848766848445
19,0.12677474319934845,0.245660662651062,0.07794860750436783,0.160957470536232,0.0006949243834242225
20,0.12582600116729736,0.24505607783794403,0.0745231956243515,0.16494587063789368,0.0006949243834242225
21,0.12613718211650848,0.2460169941186905,0.0754692479968071,0.1723639965057373,0.0006949243834242225
22,0.12465521693229675,0.24485810101032257,0.07525435835123062,0.16925448179244995,0.0006949243834242225
23,0.12508518993854523,0.24533692002296448,0.07519148290157318,0.15440741181373596,0.0006949243834242225
24,0.12335960566997528,0.24298565089702606,0.07532238215208054,0.15466897189617157,0.0006949243834242225
25,0.12472381442785263,0.24473337829113007,0.07583256810903549,0.15979336202144623,0.0006949243834242225
26,0.12143366783857346,0.2415458709001541,0.07520631700754166,0.16669651865959167,0.00034746219171211123
27,0.12026134878396988,0.23946276307106018,0.07579828053712845,0.1733003705739975,0.00034746219171211123
28,0.12061416357755661,0.24011971056461334,0.07512872666120529,0.1653261035680771,0.00034746219171211123
29,0.12193384021520615,0.24177181720733643,0.07385656982660294,0.15800432860851288,0.00034746219171211123
30,0.11959552019834518,0.2381470501422882,0.07339069247245789,0.15516209602355957,0.00034746219171211123
31,0.12128287553787231,0.24127493798732758,0.07462253421545029,0.1669931411743164,0.00034746219171211123
